Pop,Cs39,Cs40,Cs03,Cs34,Cs42
21,173173,224224,226226,185195,
21,171185,222224,222222,187195,170170
21,171185,222222,222222,185193,156156
21,165169,230230,224224,193193,170170
21,169171,224224,222222,187187,
21,169169,224230,220220,187197,
21,169173,224224,220222,187195,170170
21,171171,230230,220222,193193,
21,171171,224230,220220,193193,170174
21,171171,224230,226226,193193,
21,169177,224224,220224,185185,170170
21,171171,230230,220224,187195,170170
21,171171,220220,220220,185193,
21,169169,224230,222222,185193,170170
21,171171,220220,220226,193193,
